Product_Id P,Name P,Description P,Category P,Unit_Of_Measure P,Units_Per_Carton P,Initial_Purchase_Price,Default_Store P,Opening_Balance P,Action
c140decb,دوايه ليزر صيني,,دوايه ليزر,قطعة,,11.75,ef898402,5136,
16db4ff0,لمبه ليد 120 سم ايطالي,,لمبه 120 سم,قطعة,,52,ef898402,322,
f9a02131,لمبه 120 سم زجاج عاده,,لمبه 120 سم,قطعة,,40,ef898402,44,
0925950b,صاجه الكتروني مفرد 120 سم,,صاجه 120 سم,قطعة,,29,ef898402,78,
81866114,لمبه 120 سم ليد ريمونتدا,,لمبه 120 سم,قطعة,,54,ef898402,35,
62ec9c21,لمبه 120 سم ليد كابتل,,لمبه 120 سم,قطعة,,85,ef898402,9,
8d2e8013,كشاف 66 وات 120 سم افينا,,لمبه 120 سم,قطعة,,285,ef898402,1,
5e4d9d4c,لمبه 120 سم ليد فينوس,,لمبه 120 سم,قطعة,,115,ef898402,60,
3ee9a062,لمبه 120 سم ليد 25 وات فورا,,لمبه 120 سم,قطعة,,108,ef898402,78,
0cb55382,كشاف 150 وات السويدي,,كشاف,قطعة,,1180,ef898402,8,
939680ba,كشاف 150 وات كف شوارع السويدي,,كشاف,قطعة,,1430,ef898402,4,
bdcea6bc,بلوفنيرا 36 وات خارج وررم السويدي,,بلوفنيرا,قطعة,,225,ef898402,12,
e84eaac3,علبه ماجيك كابتل,,علبه ماجيك,قطعة,,4.25,ef898402,1350,
8bdb67f0,علبه ماجيك T,,علبه ماجيك,قطعة,,5.8,ef898402,675,
bbe94f41,AM كشاف عين بقره ليد,,كشاف,قطعة,,123,ef898402,11,
d94471f9,علبه ماجيك مجوز الهندسيه,,علبه ماجيك,كرتونة,60,480,ef898402,15,
227ae174,علبه ماجيك مفرد الهندسيه,,علبه ماجيك,كرتونة,225,675,ef898402,15,
bd645f4e,AM شاسيه اسبوط مفرد مدور اسود,,شاسيه اسبوط,قطعة,,12,ef898402,1563,
4178ac22,AM شاسيه اسبوط ثنائي اسود,,شاسيه اسبوط,قطعة,,29,ef898402,337,
177c68b2,AM شاسيه اسبوط مفرد مدور زهبي,,شاسيه اسبوط,قطعة,,19,ef898402,789,
17b7b8cc,AM شاسيه اسبوط مفرد مربع,,شاسيه اسبوط,قطعة,,19,ef898402,249,
04cb4151,AM شاسيه اسبوط ثنائي فضي,,شاسيه اسبوط,قطعة,,39,ef898402,209,
